scores,layer,head
0.60482436,14,6
0.5127776,14,0
0.49772343,5,19
0.48891908,17,8
0.4779858,17,13
0.47542307,14,2
0.46888706,22,3
0.46124715,8,21
0.45625004,7,6
0.42206806,3,15
0.41993117,16,12
0.4183993,6,17
0.41619867,8,22
0.41039956,16,13
0.40453926,2,26
0.4043011,16,27
0.4018132,3,27
0.40127,14,1
0.39769307,1,16
0.39653534,16,7
0.39354897,22,4
0.3935456,7,0
0.38981625,0,4
0.3882895,10,2
0.37823045,17,24
0.37541872,16,25
0.36710402,25,1
0.36670718,15,12
0.36486685,2,25
0.36452338,0,23
0.36433327,5,18
0.36346638,15,10
0.36230835,14,3
0.35891095,11,11
0.3584182,14,22
0.35793692,16,0
0.35590768,5,15
0.35482827,15,0
0.35398877,11,19
0.35185614,1,4
0.35176975,11,5
0.3515116,22,5
0.35080418,22,2
0.3508,16,14
0.3501266,1,27
0.34747645,19,19
0.34271,4,20
0.34235317,7,3
0.34228653,0,24
0.3419294,14,18
0.34137747,3,17
0.34106135,20,8
0.34078223,11,13
0.340501,8,18
0.3401485,22,0
0.33975276,0,26
0.33900014,23,5
0.33714777,17,5
0.3370246,22,18
0.33674756,16,20
0.33490998,15,3
0.33470857,19,10
0.33468816,15,22
0.3338782,25,17
0.33292517,13,9
0.3328979,5,25
0.33241707,24,17
0.33231783,3,9
0.33224642,18,5
0.33166957,15,19
0.331204,1,22
0.33102787,22,6
0.33094043,26,13
0.33009523,15,17
0.32991913,2,5
0.32778835,22,10
0.32774386,18,8
0.3274279,24,19
0.32679737,6,24
0.32641354,15,7
0.32635683,25,0
0.32563716,18,14
0.3253028,3,20
0.32503968,19,14
0.3250272,12,27
0.3250108,21,21
0.3244862,12,23
0.32414466,15,20
0.32375032,4,14
0.32367727,16,1
0.3231119,6,27
0.32291022,19,7
0.32231414,20,6
0.32190615,2,17
0.32140094,2,23
0.3210399,16,2
0.31979135,0,5
0.31964532,8,24
0.3196177,17,7
0.31917408,23,26
0.31913185,16,9
0.3185682,6,16
0.31833693,8,13
0.31716138,8,26
0.31710616,22,24
0.31709716,20,17
0.3167952,22,25
0.31646127,23,21
0.3158776,20,5
0.31561953,26,14
0.3148611,22,1
0.3147218,23,19
0.31441423,22,8
0.31422645,25,5
0.31407875,21,17
0.31390345,19,20
0.31365955,18,11
0.31362867,9,8
0.31337404,16,22
0.3133463,25,25
0.31310838,12,24
0.312543,20,21
0.31232148,20,7
0.3122757,17,23
