scores,layer,head
0.8132495,4,0
0.81178945,27,12
0.7974632,12,14
0.77384424,13,15
0.77348584,5,1
0.7647062,3,4
0.76287776,13,8
0.7592371,3,6
0.75474924,39,14
0.75468034,3,7
0.7543039,3,9
0.7371642,4,15
0.73216176,39,15
0.7210898,4,13
0.7127151,3,2
0.70928085,7,1
0.70693636,7,0
0.7046199,11,2
0.7027723,5,0
0.69696826,7,7
0.6947664,3,5
0.6916625,3,11
0.69079345,5,6
0.68817824,20,6
0.6837949,7,9
0.6771633,0,9
0.6771102,2,0
0.67586434,8,14
0.6758643,2,2
0.6752077,3,1
0.6741013,7,14
0.66667163,12,13
0.6659911,2,11
0.66402346,6,12
0.66296905,3,0
0.6609698,5,5
0.6590489,4,11
0.657902,7,2
0.6574421,1,2
0.65692115,2,4
0.6548981,1,9
0.65395266,7,4
0.6529746,5,4
0.65210223,4,2
0.6518341,1,7
0.65103126,1,1
0.6506649,2,12
0.6505347,2,14
0.6492906,6,14
0.6480975,5,9
0.6480695,4,4
0.6477232,7,5
0.6465831,2,6
0.6459321,2,1
0.64548147,7,8
0.6439488,11,9
0.6431526,1,8
0.6421899,1,12
0.6416083,32,9
0.64153224,3,14
0.6413604,16,2
0.64034855,32,12
0.6395598,4,10
0.6373224,2,5
0.6372964,4,6
0.6350016,1,6
0.63480514,32,8
0.632628,1,13
0.63259715,4,8
0.6312036,3,3
0.6298362,9,9
0.6290133,2,9
0.6287731,7,11
0.6283234,6,11
0.62500143,11,7
0.6229297,8,12
0.6228835,29,5
0.6225824,13,4
0.62217396,12,9
0.6209642,30,5
0.62080145,5,7
0.619328,7,3
0.6190927,1,11
0.61854434,15,14
0.618403,2,3
0.6171125,1,0
0.61635506,1,14
0.6162647,9,15
0.61557806,1,10
0.6148273,1,5
0.6133207,1,3
0.6130709,8,11
0.6122718,8,15
0.61149806,4,14
0.61006004,6,15
0.6092499,30,6
0.6085983,11,14
0.60715395,3,15
0.6067012,11,0
0.60461783,4,5
0.6041269,8,8
0.604056,9,0
0.6039166,9,8
0.60291135,30,3
0.6023165,9,6
0.60225046,14,12
0.6020875,8,4
0.6015638,10,4
0.60089463,6,2
0.60079396,28,7
0.60079294,5,3
0.6007245,16,6
0.59950554,10,11
0.5991487,7,13
0.5983632,9,4
0.5978432,20,13
0.5960959,10,12
0.5957417,16,9
0.59526134,28,3
0.5946789,28,2
0.59437615,9,1
0.5930874,7,10
0.5928202,6,10
0.59232295,28,6
0.59203166,36,1
0.59198844,28,0
0.59078777,12,0
0.5887208,6,9
0.5884098,35,8
0.58839136,8,2
0.5879989,31,9
0.58768004,30,10
0.58752316,9,7
0.58621943,8,3
0.5854837,20,12
0.58539015,34,11
0.58427393,30,4
0.58406633,35,3
0.5836962,26,1
0.5836415,39,4
0.5832809,10,2
0.5830106,34,2
0.5828887,5,12
0.58143973,6,4
0.5810815,8,7
0.5803691,15,6
0.57952476,14,6
0.5790381,14,8
0.57899356,9,11
0.5786925,27,15
0.57821125,14,0
0.57788163,6,7
0.5776459,28,1
0.57734096,11,15
0.5773365,27,13
0.57641286,10,10
0.5761098,11,6
0.5751652,6,8
0.57483155,28,13
0.5743899,30,1
0.57339746,29,10
0.57320166,11,1
0.57197976,32,4
0.57189995,11,3
0.5717581,11,13
0.5714774,34,13
0.5707652,14,2
0.56956255,32,3
0.56916064,32,13
0.567825,11,10
0.5670961,31,15
0.5647776,34,0
0.5647329,32,5
0.564409,14,1
0.5640707,34,1
0.56383085,34,10
0.5629332,6,5
0.56263804,2,13
0.5625843,33,8
0.5620594,29,8
0.5618823,41,1
0.56177723,11,11
0.56162417,32,15
0.5616016,10,3
0.56143,35,12
0.56141883,30,0
0.56101084,34,6
0.5604523,32,14
0.5591245,39,10
0.5582607,0,14
0.558145,10,6
0.5580728,30,11
0.55756,8,10
0.5573367,28,12
0.55706644,13,10
0.55692285,6,6
0.5559659,9,12
0.55556035,13,14
0.5555122,36,13
0.5552776,38,6
0.554993,37,0
0.5540858,35,0
0.5539252,26,15
0.55365974,28,14
0.5534375,6,3
0.5532849,30,2
0.5528937,16,10
0.5525992,16,7
0.5520704,31,12
0.5519394,5,14
0.5519299,9,13
0.5515093,13,1
0.5512756,31,11
0.5511355,13,11
0.5507966,13,13
0.5505665,13,7
0.55005467,31,0
0.55003196,10,1
0.54974407,12,15
0.5497399,35,14
0.5493076,29,14
0.5489764,36,6
0.5487066,10,15
0.547696,7,15
0.5474813,40,13
0.5473771,35,10
0.54658586,14,15
0.5464255,34,14
0.5463671,8,0
0.5463154,38,13
0.54596454,35,1
0.5450404,33,15
0.54494184,26,0
0.5444689,36,0
0.5443,13,0
0.54402804,36,12
0.5435502,36,7
0.54323936,30,13
0.54301494,27,0
0.54299045,37,1
0.5428754,0,7
0.54268944,27,9
0.54175144,33,10
0.5410939,37,14
0.54102343,30,12
0.54096,26,14
0.540657,6,0
0.53959805,39,9
0.53906435,35,13
0.5386041,33,14
0.53795624,38,10
0.5373833,28,10
0.53697836,34,12
0.5369161,14,11
0.5368632,34,15
0.53677505,27,6
0.53628767,34,4
0.5362651,27,4
0.53622794,32,1
0.5356231,36,5
0.53541595,37,11
0.5344707,28,9
0.5341155,38,2
0.5330564,37,2
0.532519,30,9
0.53240687,32,6
0.5317176,4,3
0.5315677,33,11
0.53105503,9,2
0.5307214,28,8
0.5302849,31,2
