scores,layer,head
0.78497607,0,6
0.7742705,0,15
0.7674938,30,22
0.76694435,0,14
0.7631849,0,5
0.74226767,29,29
0.7306438,0,9
0.7257459,0,8
0.72169137,0,13
0.7205392,28,21
0.7178351,0,11
0.7067241,0,23
0.6985318,0,12
0.6955711,0,1
0.69535923,0,4
0.6949044,30,30
0.69385386,30,13
0.6807612,0,28
0.6805782,0,21
0.67423767,0,25
0.673396,31,7
0.6700346,0,3
0.6698428,0,22
0.6655844,1,14
0.6626915,27,17
0.6588355,0,0
0.6558869,26,31
0.6516896,0,20
0.6514302,30,31
0.64891726,27,28
0.6457342,31,5
0.6425513,27,2
0.64037114,0,30
0.6370095,27,6
0.6337368,25,25
0.63030696,27,14
0.628395,0,24
0.6278934,7,17
0.6273821,31,4
0.6272184,28,8
0.6270599,24,30
0.6263851,31,17
0.62627697,1,12
0.62522084,26,3
0.6216311,0,27
0.6208367,29,2
0.61873454,30,18
0.617677,27,1
0.6173487,29,20
0.6168817,1,6
0.6135024,25,7
0.6116062,31,6
0.6099976,24,10
0.60909283,27,0
0.6084767,0,2
0.6075724,1,3
0.6071573,1,7
0.6064449,1,5
0.60606045,1,27
0.60483897,1,13
0.60343283,1,29
0.6026449,3,14
0.6015866,1,17
0.59996265,1,31
0.59984386,2,26
0.5994568,28,4
0.5992434,1,0
0.595874,29,12
0.59516734,1,21
0.5919745,3,15
0.591562,2,7
0.5903272,3,12
0.58983207,30,4
0.5895467,31,11
0.58815217,1,9
0.58754253,2,8
0.5874442,1,2
0.58682585,7,18
0.5860142,2,21
0.585556,4,23
0.58484924,27,5
0.58377904,2,5
0.5837629,31,10
0.5821745,3,30
0.580523,1,18
0.5801597,2,27
0.57969767,0,17
0.5796882,30,16
0.5790997,1,26
0.5788181,2,11
0.5787137,2,29
0.5778507,2,24
0.5774589,2,1
0.5769939,25,15
0.57691854,4,13
0.57679266,1,19
0.57638144,2,9
0.5763694,1,20
0.57594585,2,30
0.5759198,3,8
0.5758015,8,7
0.57547563,2,23
0.5750367,3,3
0.5748076,2,4
0.57467616,2,16
0.57464737,3,1
0.574579,30,29
0.5743119,1,23
0.5743085,3,31
0.5740026,2,14
0.5735663,1,30
0.5726125,3,6
0.57223374,31,27
0.5721875,2,31
0.5721173,3,2
0.572056,7,14
0.5718054,24,2
0.57175606,26,8
0.57169956,3,25
0.5716757,2,10
0.5712204,3,23
0.57094693,2,15
0.5707375,3,17
0.5706549,1,22
0.57046896,24,9
0.5704618,5,13
0.5704544,3,24
0.5704179,2,2
0.57020056,8,13
0.57014674,29,16
0.56998235,4,11
0.5699497,3,4
0.5697353,4,15
0.5691952,3,28
0.568263,4,31
0.5675525,26,13
0.5669501,2,17
0.56691974,29,8
0.5666535,7,6
0.5663113,4,12
0.5661657,6,28
0.565594,4,8
0.56514543,3,29
0.56463474,2,28
0.56425,4,19
0.5641282,1,24
0.5627552,31,30
0.5626688,2,3
0.56241983,31,29
0.56240934,8,0
0.562258,2,20
0.56201243,1,4
0.5619836,22,20
0.5619736,3,27
0.5612325,31,16
0.56122077,8,17
0.56118554,4,5
0.56088454,4,30
0.5608699,4,9
0.5607446,30,5
0.56048805,7,11
0.56009424,10,27
0.5599653,3,9
0.55958587,3,21
0.55956626,2,0
0.55847746,6,12
0.55764586,1,15
0.5575802,4,16
0.5575197,19,29
0.557399,2,25
0.5571204,4,0
0.5571151,22,24
0.5564585,7,9
0.55640113,0,7
0.55626065,21,22
0.55591536,6,11
0.5558576,3,11
0.5557473,31,18
0.5552605,1,28
0.55519915,26,12
0.5550098,6,6
0.5542591,5,24
0.5538431,1,1
0.55358815,27,10
0.5534398,2,22
0.5530825,22,30
0.55303735,26,15
0.5529396,2,12
0.5529104,7,7
0.5528436,30,10
0.5527372,8,11
0.5523365,24,20
0.55206853,1,10
0.5518693,17,24
0.5516599,16,13
0.5515199,31,23
0.55147827,6,13
0.551123,2,19
0.5511065,5,15
0.5508251,31,21
0.5506676,16,16
0.55063486,6,17
0.5498267,6,5
0.5496697,29,17
0.5495642,23,23
0.54923517,3,7
0.5491498,23,22
0.5488047,24,23
0.5481905,3,16
0.5480542,13,26
0.54785544,24,13
0.5477758,31,28
0.5476116,19,7
0.54752743,18,24
0.5474481,13,25
0.5473962,25,8
0.5471984,5,1
0.5470878,6,24
0.54678506,6,0
0.5462929,4,10
0.5461493,7,10
0.5461279,10,21
0.5459506,7,24
0.5459461,19,11
0.5457217,12,12
0.5455001,3,5
0.5451536,16,10
0.54486763,15,27
0.54399496,8,20
0.5438397,4,21
0.54383904,5,8
0.54383194,29,14
0.5437412,5,16
0.54368913,12,11
0.5433653,21,9
0.5433649,5,28
0.5433545,8,21
0.5431802,7,13
0.5431148,14,10
0.5428745,7,16
0.54284865,4,3
0.5427779,22,19
0.54236925,22,2
0.5421982,29,25
0.5420133,5,7
0.5418671,6,8
0.5418548,4,28
0.5416128,5,17
0.5415628,5,20
0.5412796,14,3
0.54108745,12,15
0.54082525,4,1
0.5403086,13,17
0.54017013,10,3
0.54011494,2,6
0.5399823,5,19
0.5399737,13,16
0.539959,14,11
0.53985417,11,6
0.53983223,12,8
0.53979874,9,19
0.53979003,22,7
0.53969574,7,8
0.53923535,15,17
0.5388071,9,17
0.5387311,5,22
0.53855604,5,21
0.5383756,13,24
0.53835785,31,13
0.5381648,14,8
0.5379396,25,9
0.5379012,31,19
0.5378255,21,17
0.5374295,10,20
0.53737795,4,4
0.5373535,6,9
0.5373379,21,31
0.5371096,5,18
0.53686565,6,29
0.53639257,10,2
0.5362699,12,17
0.536135,7,2
0.5359361,13,18
0.53582025,10,26
0.53579533,24,25
0.5357907,6,14
0.53558046,12,28
0.535556,4,26
0.53545505,5,10
0.5353216,24,21
0.5353207,30,6
0.53531027,9,8
0.53506345,7,1
0.53500617,6,23
0.53493446,10,22
0.53493226,8,29
0.5346197,10,25
0.53430086,5,2
0.5341177,2,18
0.53403425,12,13
0.5338307,9,22
0.53376436,13,10
0.5332967,3,0
0.5332443,8,16
0.533094,24,22
0.53293157,22,27
0.53284913,12,23
0.5328131,27,11
0.5327091,6,4
0.53260636,1,8
0.5325124,13,27
0.5324661,6,3
0.53245986,2,13
0.5324497,27,24
0.5324288,22,9
0.53230083,16,7
0.53229874,11,4
0.53223974,12,21
0.53204656,24,3
0.53198797,3,22
0.5318012,10,8
0.53178,23,21
0.53168523,20,12
0.5315956,5,26
0.531357,15,18
0.5312971,21,29
0.5312013,14,2
0.5311889,7,5
0.53097695,19,10
0.5308088,3,13
0.53067595,4,27
0.5306238,8,4
0.5303892,21,5
0.53008133,13,12
0.52981466,6,10
0.5297865,20,5
0.5292679,16,3
0.52883714,25,5
0.52856976,8,23
0.52846014,4,7
0.52837217,22,31
0.5282755,8,18
0.5277831,3,19
0.5274968,0,19
0.52745664,22,25
0.5273235,13,13
0.5272569,14,9
0.52718455,24,14
0.52710855,10,4
0.5271083,19,19
0.5270922,21,6
0.52706975,7,26
0.52704245,16,11
0.52702403,14,31
0.5264668,18,19
0.5263347,23,31
0.52628493,22,5
0.52584374,29,30
0.525702,9,7
0.5256704,7,0
0.5253561,5,30
0.5253424,12,20
0.5250824,24,0
0.5249701,14,0
0.5245403,20,18
0.5243324,21,8
0.5242566,22,10
0.524155,27,7
0.5239908,1,16
0.52398986,17,3
0.5235633,14,21
0.52344954,9,12
0.52339447,15,16
0.5233794,10,29
0.5233215,10,23
0.52318364,5,14
0.523146,9,4
0.52292514,19,16
0.52290595,3,20
0.522601,5,0
0.5225791,7,12
0.522534,16,15
0.5224098,5,5
0.5223695,9,18
0.5222775,13,3
0.522184,6,1
0.5220496,21,3
0.52204514,15,10
0.52201724,20,30
0.5214568,28,1
0.5213248,14,24
0.5212218,8,9
0.52115905,13,14
0.5210714,7,25
0.52097094,23,13
0.5209701,31,31
0.52069825,30,7
0.5205343,0,29
0.51995206,4,24
0.51980054,23,14
0.51973224,14,30
0.51963705,10,10
0.5193322,23,15
0.51923454,9,5
0.51913023,17,0
0.5190839,23,12
0.51895076,13,15
0.51848316,8,26
0.51845205,23,26
0.51825684,20,7
0.51811475,6,18
0.51808184,13,19
0.5180703,12,22
0.5180698,5,27
0.5180376,6,25
0.5179869,29,6
0.51763666,26,1
0.51760036,17,2
0.5175934,12,26
0.51759183,22,0
0.51740146,10,11
0.517323,25,26
0.51720065,15,9
0.51709855,15,25
0.51676387,18,13
0.51675993,26,18
0.5166597,4,25
0.51644236,23,28
0.5160761,30,0
0.5159351,15,26
0.51593345,26,10
0.51585084,21,1
0.51581895,21,2
0.51576316,20,9
0.515731,19,4
0.5156366,12,16
0.5156145,11,13
0.51558423,14,19
0.5154941,7,28
0.5154177,4,17
0.5152298,13,8
0.5152041,12,18
0.5151655,9,21
0.51516116,6,27
0.51503915,15,3
0.51494,8,19
0.5147526,4,14
0.5145487,20,4
0.5145327,15,11
0.514525,11,14
0.51443934,6,16
0.5143656,30,24
0.51429707,27,25
0.5141815,6,15
0.5139716,13,0
0.51390886,9,20
0.5138666,19,8
0.5137989,6,30
0.51378,5,11
0.51377475,27,8
0.51368874,21,12
0.51366353,7,15
0.5135404,25,12
0.5134842,20,17
0.51337135,25,28
0.5132941,29,7
0.51316184,19,18
0.51287985,11,23
0.51285076,13,11
0.51280946,28,5
0.5120313,5,23
0.5118068,15,4
0.5117426,26,21
0.5117181,5,31
0.51171714,6,21
0.51171625,13,21
0.5113398,15,1
0.5112821,18,14
0.5111041,14,6
0.51085585,11,1
0.5108225,23,8
0.51073384,9,13
0.5105545,29,11
0.5104007,16,29
0.510328,17,27
0.51005083,16,12
0.51003855,22,4
0.50972664,16,8
0.50963575,16,30
0.5096208,24,11
0.5096196,18,12
0.50957656,5,4
0.50937515,8,8
0.50936353,9,14
0.50929785,20,25
0.5092084,15,23
0.50913316,23,16
0.5090871,6,31
0.50903887,26,7
0.50896144,20,13
0.5089528,10,7
0.50860244,18,15
0.5085864,24,7
0.50858074,4,29
0.5083434,9,1
0.50827134,28,12
0.50815517,15,0
0.50814223,9,0
0.5081046,19,17
0.50801414,9,28
0.5078396,22,17
0.507824,7,22
0.5078214,17,14
0.5077816,22,3
0.507758,19,9
0.50740266,14,27
0.50726455,25,27
0.5071986,8,2
0.5070165,3,18
0.5070085,13,23
0.506973,9,26
0.5069593,18,29
0.50677687,20,14
0.50676626,17,8
0.5067028,31,25
0.5066794,9,15
0.5065949,6,19
0.5065653,17,30
0.5065371,12,10
0.5056729,25,3
0.5055809,10,5
0.5055478,25,22
0.50553894,20,27
0.50542164,15,19
0.50537604,21,11
0.5053438,17,21
0.50518763,4,20
0.5049866,25,10
0.5048903,11,9
0.50461435,18,30
0.5045568,16,14
0.5044122,12,9
0.50420207,0,16
0.5041556,15,7
0.50408304,16,9
0.50391746,19,31
0.50385886,12,25
0.5038483,16,19
0.50321406,7,4
0.5031866,23,17
0.5031751,17,17
0.50285816,21,0
0.50285774,15,22
0.5026317,16,5
0.5025946,26,4
0.50255233,4,6
0.502545,10,31
0.5024655,21,4
0.5024463,19,6
0.5024334,29,19
0.5023029,11,28
0.50199777,27,29
0.50193506,14,25
0.50181824,14,23
0.5016198,7,29
0.50160635,24,24
0.50139165,24,19
0.50131166,23,11
0.5012824,27,3
0.5011124,9,23
0.50065035,11,7
0.50054026,30,27
0.50054014,18,26
0.5005053,18,25
0.5004396,8,28
0.50034,14,17
0.5003373,17,25
0.500335,16,17
0.5002522,28,9
0.50006986,7,23
0.49999455,28,19
0.4999588,25,16
0.4999226,22,6
0.4997493,27,9
0.49974754,18,0
0.49971998,16,20
0.4996856,13,5
0.4996006,31,15
0.4994686,28,24
0.49909294,16,28
0.49895695,19,24
0.49848574,8,6
0.49845445,27,12
0.49845338,9,16
0.49843717,27,18
0.49818897,27,30
0.49810547,26,2
0.49806413,7,21
0.49792948,20,29
0.49791187,25,14
0.4977807,15,24
0.4976572,20,31
0.49737394,1,25
0.49730787,5,9
0.49723428,21,10
0.497167,21,15
0.4970993,24,4
